Clone	Main Source	Growth Condition	Well	Harmonic Mean	Growth Cond. Classification
RS10PM1	Carbon	Propionic Acid, 0.3%	A1	0.4271305178	Class C
RS10PM1	Carbon	L-Glutamate, 0.3%	A2	0.2666456487	Class D
RS10PM1	Carbon	D-Glucose, 0.3%	A3	0.2885850162	Class D
RS10PM1	Carbon	Potasium Sorbate, 0.3%	A4	0.2628814516	Class D
RS10PM1	Carbon	Lactulose, 0.3%	A5	0.2714336085	Class D
RS10PM1	Carbon	Glycerol, 0.3%	A6	0.2904305741	Class D
RS10PM1	Carbon	Myo-Inositol, 0.3%	A7	0.2824885362	Class D
RS10PM1	Carbon	D-Serine, 0.3%	A8	0.3805529368	Class C
RS10PM1	Carbon	D-Galactose, 0.3%	A9	0.2855523552	Class D
RS10PM1	Carbon	Oxalate, 0.2%	A10	0.2397779475	Class D
RS10PM1	Carbon	Malate, 0.3%	A11	0.2509479545	Class D
RS10PM1	Carbon	L-Methionine, 0.2%	A12	0.2322169997	Class D
RS10PM1	Carbon	Glycine, 0.3%	B1	0.2728820596	Class D
RS10PM1	Carbon	Negative Control, 0%	B2	0.3130877093	Class D
RS10PM1	Carbon	Quinic Acid, 0.3%	B3	0.3124726943	Class D
RS10PM1	Carbon	Sodium Succinate, 0.3%	B4	0.3323755403	Class C
RS10PM1	Carbon	Dulcitol, 0.3%	B5	0.333940912	Class C
RS10PM1	Carbon	Alpha-D-Glucose, 0.3%	B6	0.357051739	Class C
RS10PM1	Carbon	L-Xylose, 0.3%	B7	0.3531484305	Class C
RS10PM1	Carbon	L-Aspartate, 0.2%	B8	0.3473798963	Class C
RS10PM1	Carbon	D-Fructose, 0.3%	B9	0.3698854425	Class C
RS10PM1	Carbon	L-Valine, 0.2%	B10	0.3674298441	Class C
RS10PM1	Carbon	Sodium Pyruvate, 0.3%	B11	0.3484670171	Class C
RS10PM1	Carbon	Lactate, 0.3%	B12	0.3064834667	Class D
RS10PM1	Carbon	Citrate, 0.3%	C1	0.2343356866	Class D
RS10PM1	Carbon	D-Mannose, 0.3%	C2	0.3490933576	Class C
RS10PM1	Carbon	L-Serine, 0.3%	C3	0.3551078112	Class C
RS10PM1	Carbon	D-Salicin, 0.3%	C4	0.3772526906	Class C
RS10PM1	Carbon	D-Cellubiose, 0.3%	C5	0.3664888046	Class C
RS10PM1	Carbon	Adonitol, 0.3%	C6	0.3738688978	Class C
RS10PM1	Carbon	D-Glucose-6-phosphate, 0.3%	C7	1.0960184462	Class A
RS10PM1	Carbon	L-Sorbose, 0.3%	C8	0.4090757956	Class C
RS10PM1	Carbon	D-Arabitol, 0.3%	C9	0.4078541238	Class C
RS10PM1	Carbon	L-Lysine, 0.3%	C10	0.4105671557	Class C
RS10PM1	Carbon	D-Trehalose, 0.3%	C11	0.3805767897	Class C
RS10PM1	Carbon	Acetate, 0.3%	C12	0.3427047672	Class C
RS10PM1	Carbon	L-Alanine, 0.3%	D1	0.2924719101	Class D
RS10PM1	Carbon	L-Arabinose, 0.3%	D2	0.3372346705	Class C
RS10PM1	Carbon	L-Threonine, 0.3%	D3	0.3745850976	Class C
RS10PM1	Carbon	4 Hydroxy-Phenylacetate, 0.3%	D4	0.3685077733	Class C
RS10PM1	Carbon	D-Ribose, 0.3%	D5	0.3899835266	Class C
RS10PM1	Carbon	Alpha-D-Melebiose, 0.3%	D6	0.3893255282	Class C
RS10PM1	Carbon	D-Alanine, 0.3%	D7	0.4032547598	Class C
RS10PM1	Carbon	L-Fucose, 0.3%	D8	0.4225469127	Class C
RS10PM1	Carbon	L-Asparagine, 0.2%	D9	0.4152089021	Class C
RS10PM1	Carbon	L-Leucine, 0.3%	D10	0.41001356	Class C
RS10PM1	Carbon	D-Aspartate, 0.2%	D11	0.3827311629	Class C
RS10PM1	Carbon	Inosine, 0.3%	D12	0.3908029106	Class C
RS10PM1	Carbon	Thymidine, 0.3%	E1	0.3121583376	Class D
RS10PM1	Carbon	Sucrose, 0.3%	E2	0.2891998756	Class D
RS10PM1	Carbon	D-Xylose, 0.3%	E3	0.3769737037	Class C
RS10PM1	Carbon	L-Cysteine, 0.3%	E4	0.3737658219	Class C
RS10PM1	Carbon	Alpha-D-Lactose, 0.3%	E5	0.4308615325	Class C
RS10PM1	Carbon	D-Raffinose, 0.3%	E6	0.3757369552	Class C
RS10PM1	Carbon	D-Asparagine, 0.3%	E7	0.3955865695	Class C
RS10PM1	Carbon	i-Erythritol, 0.3%	E8	0.4099835636	Class C
RS10PM1	Carbon	D-Cysteine, 0.3%	E9	0.3911675197	Class C
RS10PM1	Carbon	L-Isoleucine, 0.2%	E10	0.3996609924	Class C
RS10PM1	Carbon	L-Cysteate, 0.3%	E11	0.3657232632	Class C
RS10PM1	Carbon	Adenosine, 0.2%	E12	0.7887500437	Class A
RS10PM1	Carbon	Xylitol, 0.3%	F1	0.2923327182	Class D
RS10PM1	Carbon	L-Glutamine, 0.3%	F2	0.3159731915	Class D
RS10PM1	Carbon	L-Rhamnose, 0.3%	F3	0.3427695093	Class C
RS10PM1	Carbon	Putrescine, 0.3%	F4	0.3485093898	Class C
RS10PM1	Carbon	2-Deoxy-D-Ribose, 0.3%	F5	0.3582665509	Class C
RS10PM1	Carbon	L-Arabitol, 0.3%	F6	0.367121577	Class C
RS10PM1	Carbon	D-Glucosamine, 0.3%	F7	0.4189574408	Class C
RS10PM1	Carbon	L-Phenylalanine, 0.3%	F8	0.3783142329	Class C
RS10PM1	Carbon	D-Glutamate, 0.2%	F9	0.3668366754	Class C
RS10PM1	Carbon	D-Arabinose, 0.3%	F10	0.3661126399	Class C
RS10PM1	Carbon	L-Tryptophan, 0.2%	F11	0.4444642419	Class C
RS10PM1	Carbon	L-Pyro-Glutamate, 0.3%	F12	0.356590767	Class C
RS10PM1	Nitrogen	Negative Control, 0%	G1	0.4857656553	Class C
RS10PM1	Nitrogen	Tyramine, 0.2%	G2	0.3366326662	Class C
RS10PM1	Nitrogen	Uridine, 0.3%	G3	0.4965027255	Class C
RS10PM1	Nitrogen	Inosine, 0.3%	G4	0.3934449573	Class C
RS10PM1	Nitrogen	Histamine, 0.3%	G5	0.6649067041	Class B
RS10PM1	Nitrogen	L-Pyro-Glutamate, 0.3%	G6	0.7186263703	Class B
RS10PM1	Nitrogen	Cytidine, 0.3%	G7	1.1779514914	Class A
RS10PM1	Nitrogen	Adenosine, 0.2%	G8	1.1313826107	Class A
RS10PM1	Nitrogen	L-Arginine, 0.2%	G9	1.1815207032	Class A
RS10PM1	Nitrogen	Thiourea, 0.3%	G10	0.3816878485	Class C
RS10PM1	Nitrogen	Biuret, 0.2%	G11	0.5294880203	Class B
RS10PM1	Nitrogen	Guanidine, 0.3%	G12	0.9211245918	Class A
RS10PM1	Nitrogen	L-Histidine, 0.3%	H1	0.5816721999	Class B
RS10PM1	Nitrogen	Thymine, 0.2%	H2	0.3856358644	Class C
RS10PM1	Nitrogen	L-Glutathione, 0.2%	H3	0.9924937301	Class A
RS10PM1	Nitrogen	Allantoin, 0.2%	H4	1.103564842	Class A
RS10PM1	Nitrogen	Adenine, 0.2%	H5	0.6854951739	Class B
RS10PM1	Nitrogen	Glycine, 0.3%	H6	0.9262225792	Class A
RS10PM1	Nitrogen	Beta-Phenylethylamine, 0.3%	H7	0.3559191758	Class C
RS10PM1	Nitrogen	L-Proline, 0.2%	H8	1.7065536644	Class A
RS10PM1	Nitrogen	D-Methionine, 0.2%	H9	0.4886665423	Class C
RS10PM1	Nitrogen	Cytosine, 0.2%	H10	1.1983590265	Class A
RS10PM1	Nitrogen	D-Valine, 0.2%	H11	0.495339189	Class C
RS10PM1	Nitrogen	N-Acetyl-D-Glucosamine, 0.2%	H12	1.0578369741	Class A
RS11PM1	Carbon	Propionic Acid, 0.3%	A1	0.3119385191	Class D
RS11PM1	Carbon	L-Glutamate, 0.3%	A2	0.6918487834	Class B
RS11PM1	Carbon	D-Glucose, 0.3%	A3	0.9073691589	Class A
RS11PM1	Carbon	Potasium Sorbate, 0.3%	A4	0.3331124559	Class C
RS11PM1	Carbon	Lactulose, 0.3%	A5	0.8017955561	Class A
RS11PM1	Carbon	Glycerol, 0.3%	A6	0.6494275256	Class B
RS11PM1	Carbon	Myo-Inositol, 0.3%	A7	0.6529413868	Class B
RS11PM1	Carbon	D-Serine, 0.3%	A8	0.6743985959	Class B
