Clone,Main Source,Growth Condition,Well,Harmonic Mean,Growth Cond. Classification
RS10PM2,Nitrogen,L-Glutamate: 0.3%,A1,0.6953909014,Class B
RS10PM2,Nitrogen,L-Asparagine: 0.3%,A2,1.0795020155,Class A
RS10PM2,Nitrogen,L-Alanine: 0.3%,A3,0.7495282493,Class B
RS10PM2,Nitrogen,L-Methione: 0.2%,A4,0.8020454388,Class A
RS10PM2,Nitrogen,Positive Control: 0%,A5,0.8145841168,Class A
RS10PM2,Nitrogen,L-Glutamine: 0.3%,A6,0.9979200768,Class A
RS10PM2,Nitrogen,L-Cysteine: 0.3%,A7,0.8613466969,Class A
RS10PM2,Nitrogen,L-Serine: 0.3%,A8,0.8641408686,Class A
RS10PM2,Nitrogen,L-Threonine: 0.2%,A9,0.5111426628,Class B
RS10PM2,Nitrogen,L-Leucine: 0.3%,A10,0.266453276,Class D
RS10PM2,Nitrogen,L-Lysine: 0.3%,A11,0.2915823579,Class D
RS10PM2,Nitrogen,Negative Control: 0%,A12,0.2453096552,Class D
RS10PM2,Nitrogen,D-Glutamate: 0.3%,B1,0.2900666689,Class D
RS10PM2,Nitrogen,D-Asparagine: 0.3%,B2,0.4629100738,Class C
RS10PM2,Nitrogen,D-Alanine: 0.3%,B3,0.7321819567,Class B
RS10PM2,Nitrogen,L-Tryptophan: 0.2%,B4,1.1134859137,Class A
RS10PM2,Nitrogen,D-Asparate: 0.3%,B5,0.3981284578,Class C
RS10PM2,Nitrogen,L-Phenyl-alanine: 0.3%,B6,0.5789098075,Class B
RS10PM2,Nitrogen,D-Cysteine: 0.3%,B7,0.637018519,Class B
RS10PM2,Nitrogen,D-Serine: 0.3%,B8,0.9082689842,Class A
RS10PM2,Nitrogen,L-Valine: 0.2%,B9,0.2760842607,Class D
RS10PM2,Nitrogen,L-Isoleucine: 0.2%,B10,0.2954982009,Class D
RS10PM2,Nitrogen,Tyrosine: 0.3%,B11,0.3080282792,Class D
RS10PM2,Nitrogen,L-Citrulline: 0.3%,B12,0.5220856105,Class B
RS10PM2,Nitrogen,L-Ornithine: 0.3%,C1,0.9469457535,Class A
RS10PM2,Nitrogen,Putrescine: 0.3%,C2,0.6952391932,Class B
RS10PM2,Nitrogen,D-Glucosamine: 0.3%,C3,0.2599202412,Class D
RS10PM2,Nitrogen,2-Deoxy-D-Ribose: 0.3%,C4,0.2639675949,Class D
RS10PM2,Nitrogen,Thymidine: 0.3%,C5,0.2705815759,Class D
RS10PM2,Nitrogen,Acetamide: 0.3%,C6,0.6043636522,Class B
RS10PM2,Nitrogen,Blank12: 0%,C7,0.3769158846,Class C
RS10PM2,Nitrogen,Blank15: 0%,C8,0.3165498939,Class D
RS10PM2,Nitrogen,Blank18: 0%,C9,0.3419883396,Class C
RS10PM2,Nitrogen,Blank21: 0%,C10,0.3701038278,Class C
RS10PM2,Nitrogen,Blank24: 0%,C11,0.3542746226,Class C
RS10PM2,Nitrogen,Blank28: 0%,C12,0.2792244331,Class D
RS10PM2,Sulfur,Negative Control1: 0%,D1,0.9017299424,Class A
RS10PM2,Sulfur,Blank2: 0%,D2,0.9118971609,Class A
RS10PM2,Sulfur,Blank4: 0%,D3,0.8980205919,Class A
RS10PM2,Sulfur,Blank6: 0%,D4,0.8674789818,Class A
RS10PM2,Sulfur,Blank8: 0%,D5,0.8894066844,Class A
RS10PM2,Sulfur,Blank10: 0%,D6,0.8930673564,Class A
RS10PM2,Sulfur,Blank13: 0%,D7,0.9304287606,Class A
RS10PM2,Sulfur,Blank16: 0%,D8,0.9178123951,Class A
RS10PM2,Sulfur,Blank19: 0%,D9,0.9108046497,Class A
RS10PM2,Sulfur,Blank22: 0%,D10,0.9070130948,Class A
RS10PM2,Sulfur,Blank25: 0%,D11,0.8959158227,Class A
RS10PM2,Sulfur,Blank29: 0%,D12,0.9269180988,Class A
RS10PM2,Sulfur,L-Methionine: 0.3%,E1,1.0199447266,Class A
RS10PM2,Sulfur,L-Cysteine: 0.3%,E2,0.7542539053,Class A
RS10PM2,Sulfur,L-Cysteate: 0.3%,E3,0.6177190757,Class B
RS10PM2,Sulfur,Glutathione: 0.2%,E4,0.5504036241,Class B
RS10PM2,Sulfur,Thiourea: 0.3%,E5,1.0061564045,Class A
RS10PM2,Sulfur,L-Djenkolate: 0.3%,E6,0.9115426383,Class A
RS10PM2,Sulfur,Acetyl-Cysteine: 0.3%,E7,0.6032054407,Class B
RS10PM2,Sulfur,1-Butane-Sulfonate: 0.3%,E8,0.9240277782,Class A
RS10PM2,Sulfur,Taurocholate: 0.3%,E9,0.7132831991,Class B
